created_time,id,pre_processed_message,message_min_processed,shares,status_type,full_picture,reactions_like,reactions_haha,reactions_wow,reactions_sad,reactions_angry,reactions_love,has_textual_message
2020-01-31T12:33:09+0000,904277726319518_2816086435138628,prefeit brun cov nov vitim sindrom fakenews reiter divers entrev manifestaco public estranh ser contradit antecessor joa dor jr receb prefeitur sao paul romb financ tratas ment deslav tod agenc verificaca dad inclusiv lup tribunal cont municipi ate agenc internacional checag atest gesta fern haddad deix r bilho caix rest pag r bilho pass tres anos frent prefeitur municipal sao paul gesta doriacov nao consegu respond necess cidad divers problem estrutur apel agor descadar fak news absurd,o prefeito bruno covas e a mais nova vitima da sindrome das fake-news . ele tem reiterado em diversas entrevistas e manifestacoes publicas estranhamente sem ser contraditado que seu antecessor joao doria jr. recebeu a prefeitura de sao paulo com rombo nas financas . trata-se de mentira deslavada . todas as agencias de verificacao de dados inclusive a lupa o tribunal de contas do municipio e ate uma agencia internacional de checagem atestaram que a gestao fernando haddad deixou r $ 5 5 bilhoes em caixa e restos a pagar de r $ 2 2 bilhoes . passados mais de tres anos a frente da prefeitura municipal de sao paulo a gestao doria-covas nao conseguiu responder as necessidades da cidade aos seus diversos problemas estruturais e apela agora descadaramente para uma fake news absurda .,996,mobile_status_update,None,8365,47,31,74,115,180,True
2020-01-31T11:33:15+0000,904277726319518_2815993118481293,alem carnaval rua sp hoj maior pais maior acert gesta sp criaca spcin sal public cinem ceus,alem do carnaval de rua de sp hoje o maior do pais um dos maiores acertos da nossa gestao em sp foi a criacao da spcine e as 20 salas publicas de cinema nos ceus .,103,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQBe58CulLexnruz&url=https%3A%2F%2Ff.i.uol.com.br%2Ffotografia%2F2019%2F12%2F17%2F15765976235df8f877702f7_1576597623_3x2_lg.jpg&_nc_hash=AQDdLZLemDunNhuE,1225,8,2,0,2,187,True
2020-01-30T11:49:56+0000,904277726319518_2813976112016327,acel,acelera .,2503,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQBNjiFdHNr9UQhi&url=https%3A%2F%2Fimg.estadao.com.br%2Fresources%2Fjpg%2F8%2F3%2F1576873774438.jpg&_nc_hash=AQAmB8z84dYS6CM2,4354,1405,90,458,264,32,True
2020-01-29T21:20:17+0000,904277726319518_2812827805464491,weintraub hoj funcionari mec afirm result enem nao confiavel mpf encontr indici falh sisu reserv vag pesso deficienc nov problem sisu estud diz nao consegu inscrev list esper,weintraub hoje : - funcionarios do mec afirmam que resultado do enem nao e 100 % confiavel - mpf encontra indicio de falha no sisu na reserva de vagas para pessoas com deficiencia - novo problema no sisu : estudantes dizem nao conseguir se inscrever na lista de espera,440,mobile_status_update,None,2940,26,43,627,564,4,True
2020-01-29T21:00:46+0000,904277726319518_2812792968801308,acompanh daqu pouc brasil,acompanhe daqui a pouco no brasil 247 .,104,added_photos,https://scontent-gru2-1.xx.fbcdn.net/v/t1.0-0/p600x600/83718901_2812792625468009_2370736168305164288_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=s5pGagbQHrgAX-oRz9V&_nc_ht=scontent-gru2-1.xx&_nc_tp=6&oh=7cee0c2e3b1b0b009778e3ebc87c6f59&oe=5EAC59A5,2116,66,4,1,2,215,True
2020-01-27T15:11:56+0000,904277726319518_2808076015939670,dev baian secretari cultur exministr juc ferreir result extraordinari,devemos a um baiano meu secretario de cultura e ex-ministro juca ferreira esse resultado extraordinario .,712,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?url=https%3A%2F%2Fogimg.infoglobo.com.br%2Fin%2F24212975-117-270%2FFT1086A%2F652%2FTuristas.jpg&_nc_hash=AQAyZCwKhRwyNSEY,8370,98,151,24,7,2002,True
2020-01-26T16:58:51+0000,904277726319518_2806271942786744,queri agradec mensagens carinh passag aniversari bom ter amig quer voc,queriamos agradecer as mensagens de carinho pela passagem do meu aniversario . que bom ter amigos queridos como voces !,576,added_photos,https://scontent-gru2-2.xx.fbcdn.net/v/t1.0-9/s720x720/84138844_2806271866120085_1122600482901065728_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=GgncyQg1vMsAX9Y30q4&_nc_ht=scontent-gru2-2.xx&_nc_tp=7&oh=d88d66951e5735632f9d233e4633d0cf&oe=5EAE4F13,29387,78,47,2,6,9080,True
2020-01-25T14:34:52+0000,904277726319518_2803986739681931,cronic seman sobr histor bndes caixapret vaz,cronica da semana sobre a historia do bndes e a caixa-preta vazia .,507,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQAPDeRdO5oOb9lk&url=https%3A%2F%2Ff.i.uol.com.br%2Ffotografia%2F2020%2F01%2F24%2F15799119845e2b8b302f930_1579911984_3x2_rt.jpg&_nc_hash=AQDXKVZqXkudUNnZ,2543,38,15,6,7,197,True
2020-01-23T23:08:01+0000,904277726319518_2800724786674793,bolsonar errou extingu ministeri seguranc public agor vaidad quer recrial mor esvazi ameac deix govern algu sair bem menor episodi,bolsonaro errou ao extinguir o ministerio da seguranca publica . agora por vaidade quer recria-lo . moro seria esvaziado e ameaca deixar o governo . alguem saira bem menor do episodio .,360,mobile_status_update,None,6194,995,37,12,9,194,True
2020-01-22T17:19:28+0000,904277726319518_2798299066917365,sisu cois inov fiz mec nenhum paralel mund boa sort moc,o sisu e das coisas mais inovadoras que fizemos no mec . nenhum paralelo no mundo . boa sorte mocada ! !,395,mobile_status_update,None,7453,55,9,11,4,1558,True
